Lambda,Wave_number,eV,Epsilon,Error_Epsilon,Observation,Number_id,Author,Reference_number,Year_publication,Comments
154.0,65000,NULL,NULL,NULL,max,97,JORTNER,2555,1962,"citing several refs."
171.0,NULL,NULL,NULL,NULL,NULL,672,ROTH,4580,2004,NULL
175.1,NULL,NULL,5000.00,NULL,"max. deconvol?",68,"WANG ... MARGERUM",3777,1994,NULL
181.0,NULL,NULL,NULL,NULL,max.,73,RABINOWITCH,3878,1942,"quoted by Friedman,922(1953)"
181.0,55300,NULL,NULL,NULL,max.,73,RABINOWITCH,3878,1942,"does not give the epsilon"
181.0,0,NULL,NULL,NULL,NULL,73,MEYERSTEIN,6225,1968,"quoting Friedman, 922 (1953)"
182.0,55000,NULL,NULL,NULL,max,73,JORTNER,2555,1962,"citing several refs."
184.5,NULL,NULL,33000.00,NULL,NULL,146,"WANG .. MARGERUM",3777,1994,"in HClO4 1.0 M"
185.5,NULL,NULL,1350000.00,NULL,"max. deconvol?",68,"WANG ... MARGERUM",3777,1994,NULL
187.0,53500,NULL,NULL,NULL,max.,98,RABINOWITCH,3878,1942,"does not give the epsilon"
190.0,NULL,NULL,1592.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3 M"
190.0,NULL,NULL,931.00,NULL,NULL,86,HART,3614,1983,NULL
190.0,52500,NULL,NULL,NULL,max,68,JORTNER,2555,1962,NULL
190.0,52600,NULL,NULL,NULL,max,98,JORTNER,2555,1962,"citing several refs."
190.8,NULL,NULL,38000.00,NULL,NULL,146,"WANG .. MARGERUM",3777,1994,"in HClO4 1.0 M"
192.0,NULL,NULL,1720.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3 M"
193.0,NULL,6.4,NULL,NULL,"I(-) -> I(2P(1/2));band J=1/2",33,BHATTACHARYYA,6500,2020,"CTTS, load transfer to solvent, citing Jortner, 2549(1960)"
194.0,NULL,NULL,140000.00,NULL,max.,33,JORTNER,2549,1960,"reading from the graph, 20°C"
